"id","headline","summary","created","source"
"20211012501","Former New York Yankee Joe Pepitone drops lawsuit against Baseball Hall of Fame over Mickey Mantle s 500th home run bat","ALBANY, N.Y. -- - Former New York Yankees star Joe Pepitone has dropped his lawsuit against the Baseball Hall of Fame that sought the return of a Louisville Slugger bat that Mickey Mantle used to hit his 500th career home run.","2021-10-12","ESPN"
"20211012502","Atlanta Braves Charlie Morton to start Game 4 on short rest; Eric Lauer to pitch for Milwaukee Brewers","ATLANTA -- Charlie Morton will start Tuesday on three days rest for the Atlanta Braves in Game 4 of their National League Division Series against the Milwaukee Brewers.","2021-10-12","ESPN"
"20211012503","New York Yankees owner Hal Steinbrenner seems inclined to keep Aaron Boone, sources say","Though the wait continues within the Yankees organization for owner Hal Steinbrenner to dictate the direction of the team in a fluid situation, he seems inclined to keep Aaron Boone as manager, industry sources told ESPN s Buster Olney.","2021-10-12","ESPN"
"20211012504","Los Angeles Dodgers thwarted by crazy wind as San Francisco Giants take Game 3 thanks to Evan Longoria HR","LOS ANGELES -- Off the bat, nine innings into a game surprisingly devoid of action, it seemed as if an entire ballpark believed Gavin Lux had tied the score with his Los Angeles Dodgers down to their final out.","2021-10-12","ESPN"
"20211012505","MLB playoffs 2021: Best moments and plays from Monday s postseason games","The wildly dramatic -- and sometimes controversial -- 2021 MLB playoffs continued Monday with a tripleheader.","2021-10-12","ESPN"
"20211012506","MLB playoffs 2021 - Fenway magic is in the air as Red Sox roll into ALCS","BOSTON -- The chants at Fenway Park during this Red Sox playoff run echo in your mind. When Gerrit Cole struggled through the AL Wild Card Game, failing to make it past three innings, Boston fans made chants of GERRIT! ring through the crowd. When Rays outfielder Randy Arozarena ran out to right field, Red Sox fans in the bleachers let him hear it with chants of RANDY! (He tipped his hat in response.) After Luis Patio gave up a game-winning home run to Christian Vazquez in Game 3, fans greeted him pre-game in Game 4 with jeers, leading the Rays pitcher to blow kisses to the crowd. When Patio later entered the game -- facing Vazquez -- the Fenway crowd echoed a jeer from annals of Red Sox history.","2021-10-12","ESPN"
"20211012507","Boston Red Sox advance to ALCS behind Kik Hernandez, Rule 5 draft pick-turned-bullpen ace Garrett Whitlock","BOSTON -- As the Red Sox clinched their spot in the American League Championship Series, they rode the backs of two players who entered the season wanting to prove their worth.","2021-10-12","ESPN"
"20211011501","MLB playoffs 2021: Why Braves slugger Joc Pederson has former Cubs teammate Anthony Rizzo to thank for his NLDS heroics","","2021-10-11","ESPN"
"20211011502","Houston Astros manager Dusty Baker says sign-stealing allegations by Chicago White Sox are heavy accusations ","CHICAGO -- Astros manager Dusty Baker pushed back on Chicago White Sox reliever Ryan Tepera s comments regarding potential sign stealing by Houston, calling them heavy accusations. ","2021-10-11","ESPN"
"20211011503","Astros dismiss sign-stealing implications by Chisox pitcher","CHICAGO -- The Houston Astros found themselves in familiar territory Monday, brushing aside comments by Chicago White Sox reliever Ryan Tepera after he implied they stole signs while winning the first two games of the AL Division Series in their ballpark.","2021-10-11","ESPN"
