"id","headline","summary","created","source"
"20211007401","These Baseball Frenemies Have Met Over 200 Times. But Rarely Like This.","From teammates, to manager and player, to division rivals, Tony La Russa and Dusty Bakers careers have consistently intersected for decades. They are facing off yet again.","2021-10-07","NYTimes"
"20211022401","Finding a Path for a Talented but Shaken Franchise","A cheating scandal and a tainted World Series title had the Houston Astros in disarray. James Click got the franchise right back in the business of trying to win championships.","2021-10-22","NYTimes"
"20211023401","On a Polarizing Team, a Manager Worth Rooting For","Brought in to clean up someone elses mess, Dusty Baker is back in the World Series with a chance to redefine his legacy as well as the legacy of the team he inherited.","2021-10-23","NYTimes"
"20211021401","Can the Red Sox Get Back on Track? We Did It Before.","A pair of ugly losses in a row has Boston reeling. But as the A.L.C.S. shifts to Houston, the Red Sox are buoyed by the idea that they have overcome worse deficits in the past.","2021-10-21","NYTimes"
"20211020401","Justin Verlander Is Not Walking Through That Door","In a strategy their pitching coach compared to the Celtics of yesteryear, the Astros have been relying on their bullpen to carry them. On Wednesday, the relievers finally got some rest.","2021-10-20","NYTimes"
"20211019401","Mr. October Traded His Pinstripes for an Astros Cap","Reggie Jackson, the Hall of Fame slugger and longtime Yankees adviser, has a new role with the Astros, helping reassure the team as postseason pressure mounts.","2021-10-19","NYTimes"
"20211019402","A Slugger Leading Off? Its Not Analytics, Its Not a Hunch.","Bostons Kyle Schwarber doesnt look like a typical leadoff hitter, but he is giving the Red Sox exactly what they need.","2021-10-19","NYTimes"
"20211018401","Atlanta Bought in Bulk to Replace the Irreplaceable","For many teams, losing Ronald Acua Jr. would have been a crushing blow. To the Braves Alex Anthopoulos, it was a puzzle to solve. He seems to have the right pieces.","2021-10-18","NYTimes"
"20211017401","In This Postseason, Pitching Six Innings Feels Like a Lot","Atlantas Max Fried has recorded 18 outs in each of his last two starts, standing out in an era of openers, quick hooks and mustachioed middle men.","2021-10-17","NYTimes"
"20211015401","For the Giants, a Rapid Ascent, a Hard Fall and Hopes of a Rematch","San Francisco had a 109-win season dissolve at the hands of a bitter rival, but they still view their future as bright. This wont be the last time we play them in the playoffs.","2021-10-15","NYTimes"
"20211014401","Two 100-Win Teams. Winner-Take-All Game. Play Ball.","For the fifth time in baseball history, teams with 100 or more victories will face off in a do-or-die postseason game. For the Dodgers and the Giants, a rivalry complicates matters.","2021-10-14","NYTimes"
"20211012401","The Red Sox Ride a Wave of Offense Into the A.L.C.S.","It sometimes feels like the Tampa Bay Rays are reinventing baseball, but it was Boston that upended conventional wisdom by using good hitting to beat good pitching in October.","2021-10-12","NYTimes"
"20211010401","Happy to Pitch for the Rays, Team U.S.A. or Westcott Properties","When David Robertson joined Tampa Bays motley crew of low-cost high-reward options, the former Yankees closer said he was up for whatever. He meant it.","2021-10-10","NYTimes"
"20211008401","With Textbook Win, the Astros Take a Commanding Series Lead","Dazzling defense kept Game 2 close and a huge seventh inning powered Houston to victory. After cruising all season, the White Sox are on the brink of elimination.","2021-10-08","NYTimes"
"20211006401","The Yankees Arent Bad, They Are Ordinary","The team views itself as a top contender, and still has its fair share of stars, but the reality is setting in that its payroll and pedigree cant push it past its rivals.","2021-10-06","NYTimes"
"20211005401","Is it Fair? No, Its Not Fair. Is It Fun? Absolutely.","Teams hate the single-elimination wild-card game because the stakes are so high. But whatever you think of the format, the pull for fans is irresistible.","2021-10-05","NYTimes"
"20211003401","Crazy, Wild, Tough Year Continues as Yankees Clinch Wild Card","On a day that looked like a recipe for chaos, the Yankees and the Red Sox made things simple by winning. They will face each other in Boston with a division series trip on the line.","2021-10-03","NYTimes"
"20211003402","The Slugging Rays Found Yet Another Way to Be Different","With a low payroll that requires some trade-offs, Tampa Bay led the majors in runs despite leading the A.L. in strikeouts.","2021-10-03","NYTimes"
"20211001401","At the Mets Home Finale, Change Was in the Air","New leaders will be ushered in this off-season. But even in a year marred by a monumental collapse, a core group of stars offers something not every team has: hope.","2021-10-01","NYTimes"
"20210927401","The Yankees Find Their Footing at Exactly the Right Time","We arent afraid to make it interesting, Giancarlo Stanton said after his team swept the Red Sox at Fenway to take over the American Leagues top wild-card spot.","2021-09-27","NYTimes"
"20210926401","The Mets Learn a Reset Takes More Than One Year","A first-place team to start August, the Mets fell out of the race and will enter the off-season once again needing to hire a leader for baseball operations.","2021-09-26","NYTimes"
"20210923401","In a Wild Lefty With Huge Potential, a Hall of Famer Saw Himself","Robbie Rays path from walks leader to Cy Young favorite has been eerily similar to Randy Johnsons. It was Johnson who pushed Ray toward greatness.","2021-09-23","NYTimes"
"20210919401","The Yankees Roller Coaster of a Season Hits Another Big Dip","Fighting for their postseason life, the Yankees got embarrassed at home, again, despite having Gerrit Cole on the mound.","2021-09-19","NYTimes"
"20210916401","In an Era of Throwers, a Pitcher Remains","Still an ace at 40, Adam Wainwright of the St. Louis Cardinals is having his best season in years. His secret? It starts with a game of catch.","2021-09-16","NYTimes"
"20210908401","On His Biggest Stage Yet, Derek Jeter Delivered One More Time","I forgot how good that feels, the former Yankees captain said as the crowd greeted him in Cooperstown with a warm, familiar salute.","2021-09-08","NYTimes"
"20210907401","A Hall of Fame Shortstop, Through and Through","Over the years, Derek Jeter took plenty of criticism for his fielding. But his spot at the center of a Yankees dynasty was far from coincidental.","2021-09-07","NYTimes"
"20210830401","In Queens, the Mets Give Their Fans a Bronx Cheer","Showing off their sensitivity, Francisco Lindor, Javier Baez and Kevin Pillar celebrated a win by making thumbs-down gestures at the fans who had booed them.","2021-08-30","NYTimes"
"20210829401","A Lineup of Color Made History, Even if It Felt Routine","Fifty years ago, the Pittsburgh Pirates started a game using only Black and Latino players. It was a first in the National or the American League, and it still manages to stand out.","2021-08-29","NYTimes"
"20210823401","The Orioles Are Bad and It Just Might Get Worse","With 18 straight losses, and a tough stretch of games, Baltimore could set a futility record. The stripped-down roster being part of a larger plan doesnt make it any easier to watch.","2021-08-23","NYTimes"
"20210818401","For Mets Offense, the Message Was Sent, and We Got It","The free-swinging team had been in free-fall when Steven Cohen snapped, criticizing the offense. An extra-innings win on Wednesday turned the volume down.","2021-08-18","NYTimes"
"20210815401","Beginners Luck? A Stunning No-Hitter in a Year Full of Them.","In his first career start, Tyler Gilbert of the Diamondbacks threw M.L.B.s eighth no-hitter of the year. There havent been that many in a single season since 1884.","2021-08-15","NYTimes"
"20210813401","In a Field in Iowa, the White Sox Delivered a Hollywood Ending","M.L.B.s Field of Dreams game was packed full of nostalgia, but Tim Andersons walk-off homer made sure this sequel-of-sorts created memories of its own.","2021-08-13","NYTimes"
"20210811401","Shoeless Joe Wont Be There. Aaron Judge Will.","From a cornfield in Iowa, the Yankees and the Chicago White Sox will emerge Thursday to play on a new field near the original setting for the film Field of Dreams.","2021-08-11","NYTimes"
"20211020402","The Friendship That Shapes Atlanta Baseball","Neither Bobby Coxs stroke in 2019 nor Atlantas current playoff run has stopped Manager Brian Snitker from visiting his mentor, searching for bits of magic.","2021-10-20","NYTimes"
"20211019403","Citing His Baseball Acumen, the Yankees Retain Aaron Boone","A 12th consecutive season without a championship has ownership looking for improvement, but General Manager Brian Cashman says Boone is part of the solution.","2021-10-19","NYTimes"
"20210808401","One Game, and Tweet, at a Time, the Mets Are Sliding","We have to get our act together soon, Steven Cohen, the teams owner, posted during a loss last week. The team is 1-4 since then and has fallen to third in the N.L. East.","2021-08-08","NYTimes"
"20211005402","Eddie Robinson, Baseball Lifer Who Outlived His Peers, Dies at 100","He was a power-hitting All-Star in a career of more than 60 seasons as a player, executive, coach and scout. He had been the oldest living former major leaguer.","2021-10-05","NYTimes"
"20210930401","The Environment Affects Baseball. These Players Want to Help.","Beach cleanups, plastic reduction, rethinking travel: A group of major leaguers is pushing back in a wasteful sport.","2021-09-30","NYTimes"
"20211005403","A Baseball Machine Finds Happiness","After an unceremonious exit from the Angels, Albert Pujols got back to the postseason in a surprising role: joyful mentor.","2021-10-05","NYTimes"
"20210930402","Biden and Pelosi Attend Congressional Baseball Game","President Biden and Speaker Nancy Pelosi were seen cheering on the sideline and talking to players at the annual Congressional Baseball Game as they tried to salvage two crucial pieces of Mr. Bidens domestic agenda.","2021-09-30","NYTimes"
"20210930403","With their agenda in the balance, Biden and Pelosi work the Congressional Baseball Game.","The game was a respite from partisan division and high drama on Capitol Hill, but talks continued from the stands and dugouts.","2021-09-30","NYTimes"
"20211022402","An Unreal Feeling as Astros Reach Third World Series in Five Years","Stained by scandal, Houstons core stuck together, outlasting the Boston Red Sox and returning to baseballs biggest stage in pursuit of another ring.","2021-10-22","NYTimes"
"20211021402","In a Place He Never Thought Hed Be, and Thriving","Houstons Yordan Alvarez grew up in Cuba believing hed never need to learn English. The M.V.P. of the A.L.C.S. lets his tape measure homers do the talking.","2021-10-21","NYTimes"
"20211022403","Ron Washington Has Atlanta Laughing (While It Learns)","The third-base coachs loving and lively relationship with the teams infielders is a key to its success. Hes holding out hope for a second chance to manage.","2021-10-22","NYTimes"
"20211022404","Hes Bobby V, and He Wants to Be Mayor","The mayors race in Stamford has been flooded with money and intrigue, thanks largely to the flamboyant presence of Bobby Valentine, a first-time candidate and former Mets and Red Sox manager.","2021-10-22","NYTimes"
"20211022405","How Rare Is a Three-Homer Game in the Postseason?","Babe Ruth. Reggie Jackson. Chris Taylor? A feat that used to come few and far between is happening more often. But it is still unusual enough to stand out.","2021-10-22","NYTimes"
"20211022406","Chris Taylors Three-Homer Day Keeps Dodgers Alive","The N.L.C.S. heads back to Atlanta after Taylor became the 11th batter with three homers in a postseason game.","2021-10-22","NYTimes"
"20211021403","Review: Books About Babe Ruth","In 1974, Roger Angell celebrated four new biographies of the Bambino.","2021-10-21","NYTimes"
"20211021404","Atlanta on the Verge of World Series Thanks to Rosarios Hot Bat","A midseason pickup from Cleveland, Eddie Rosario has been nothing short of incredible. He led the way in yet another win.","2021-10-21","NYTimes"
"20211020403","With Houston on the Rise, the Red Sox Are on the Ropes Again","A blowout win in Game 5 sends this series back to Houston, decidedly in the Astros favor. The resilient Red Sox may have finally met their match.","2021-10-20","NYTimes"
"20211020404","A Strikeout That Wasnt Lets the Astros Back Into A.L.C.S.","With two outs in the ninth, Nathan Eovaldi thought he had a strike three. Laz Diaz disagreed and by the time the dust settled, Houston had scored seven runs, tying the series.","2021-10-20","NYTimes"
"20211019404","Bellingers Blast Breathes Life Into Dodgers Offense","A three-run homer from the struggling outfielder tied the game and a double by Mookie Betts put Los Angeles ahead to stay. With that, Atlantas dreams of a sweep faded away.","2021-10-19","NYTimes"
"20211019405","Groundhog Day in Boston as Another Grand Slam Sets the Tone","The Red Sox have won consecutive blowouts against the Astros, showing some swagger while setting a record for bases-loaded homers in a postseason series.","2021-10-19","NYTimes"
"20211018402","A.L.C.S. Provides a Moment of Pride for Puerto Rico","A matchup between the Astros and the Red Sox is loaded with representation of the Caribbean island. Some friendships had to be put on hold.","2021-10-18","NYTimes"
